"","province_2018","lower_dist","district_2013","district_2018","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_2015","pop_2016","pop_2017","pop_2018","pop_2019","cbr_province","province_deaths","vacc_province","mcv1_2018","mcv1_2017","mcv1_2016","mcv1_2015","mcv1_2014","mcv1_2013","mcv1_cov_2018","mcv1_cov_2017","mcv1_cov_2016","mcv1_cov_2015","mcv1_cov_2014","mcv1_cov_2013","growth_rate","pop_2020","pop_2021","pop_2022","pop_2023","pop_2024","pop_2025","pop_2026","pop_2020.1","pop_2021.1","pop_2022.1","pop_2023.1","pop_2024.1","pop_2025.1","pop_2026.1","PCES2020","ZAMPHIA","sero_PCES2016","district_map","meanseroprev.pop.2016","lowerseroprev.pop.2016","upperseroprev.pop.2016","sia2016"
"1","Eastern","chadiza","Chadiza","Chadiza",109671,109671,112563,115492,118457,121456,124504,87737,89930,92167,43.5,14.4,"Eastern Province",4529,4190,3847,4012,3978,4453,0.99,0.99,0.99,0.99,0.99,0.99,1.0248749027021,94459.6451573446,96809.3196399086,99217.442046608,101685.466263869,104214.8823434,106807.217401803,109464.036542555,94459.6451573446,96809.3196399086,99217.442046608,101685.466263869,104214.8823434,106807.217401803,109464.036542555,79.53411,80.5,NA,"chadiza",0.820735900147867,0.80354661751906,0.83677591704059,0.971
"2","Muchinga","chama","Chama","Chama",109534,109534,114946,120420,125947,131514,137186,143041,149073,155281,45.8,13,"Muchinga Province",4833,4660,4769,4740,3840,3998,0.99,0.99,0.99,0.99,0.88,0.92,1.04164402675199,161747.526118076,168483.344422806,175499.669325215,182808.182249561,190421.051081645,198350.950427031,206611.082712898,161747.526118076,168483.344422806,175499.669325215,182808.182249561,190421.051081645,198350.950427031,206611.082712898,70.10676,86.1,NA,"chama",0.847299525373521,0.831411086209375,0.861654751109038,0.989
"3","North-Western","chavuma","Chavuma","Chavuma",35772,35772,36453,37117,37765,38396,39012,39620,40219,40807,42,10.2,"North Western Province",1135,1145,823,495,582,1219,0.99,0.99,0.99,0.99,0.99,0.99,1.01461995574231,41403.5965339765,42008.9152828757,42623.0837650938,43246.2313633403,43878.4893518941,44519.9909242582,45170.871221219,41403.5965339765,42008.9152828757,42623.0837650938,43246.2313633403,43878.4893518941,44519.9909242582,45170.871221219,67.46575,83.2,NA,"chavuma",0.880538442797331,0.860146183680819,0.898308075573321,0.856
"4","Luapula","chembe","Mansa","Chembe",7184.135,10263.05,14661.5,20945,17126,14210,29002,52717,53938,55176,44.6,15.4,"Luapula Province",1922,1092,789,617,791,888,0.99,0.99,0.94,0.74,0.94,0.99,1.02295227854203,56442.414920835,57737.8969496829,59063.113242903,60418.7462696135,61805.4941631539,63224.0710806144,64675.2075706178,56442.414920835,57737.8969496829,59063.113242903,60418.7462696135,61805.4941631539,63224.0710806144,64675.2075706178,77.04485,78.2,NA,"chembe",0.777509966083185,0.755822228890281,0.797026194453479,0.87
"5","Central","chibombo","Chibombo","Chibombo",314151,314151,322121,330206,338405,346706,355138,283498,290311,297234,41.2,11.9,"Central Province",14882,13480,12088,11598,10484,10934,0.99,0.99,0.99,0.99,0.99,0.99,1.02384684011284,304322.091674101,311579.21193706,319009.391586609,326616.757542271,334405.535137557,342380.050466832,350544.732788143,304322.091674101,311579.21193706,319009.391586609,326616.757542271,334405.535137557,342380.050466832,350544.732788143,54.80984,84.7,NA,"chibombo",0.845906695800654,0.830571278272643,0.859926389531924,0.929
"6","Luapula","chienge","Chienge","Chienge",117454,117454,121372,125351,129395,133501,137692,141989,146390,150892,44.6,15.4,"Luapula Province",2148,2051,2784,1376,1474,5351,0.99,0.99,0.99,0.77,0.83,0.99,1.03075346676686,155532.452107384,160315.614204436,165245.875118081,170327.758646884,175565.927711904,180965.188635185,186530.495549835,155532.452107384,160315.614204436,165245.875118081,170327.758646884,175565.927711904,180965.188635185,186530.495549835,77.04485,78.2,NA,"chiengi",0.867989664707452,0.85437346324507,0.880625123194146,0.87
"7","Southern","chikankata","Mazabuka","Chikankata",49225.645,70322.35,100460.5,143515,74076,75083,76060,69439,70279,71097,40.7,10.1,"Southern Province",2899,3628,3258,2945,2410,2759,0.5,0.63,0.57,0.51,0.42,0.48,1.01163932326869,71924.5209664338,72761.6737169075,73608.5703588693,74465.324304622,75332.050286511,76208.8643722886,77095.8839806572,71924.5209664338,72761.6737169075,73608.5703588693,74465.324304622,75332.050286511,76208.8643722886,77095.8839806572,64.11765,81,95.5,"chikankanta",0.881563974727491,0.870143313525253,0.892320535443965,0.968
"8","Lusaka","chilanga","Kafue","Chilanga",41832.966,59761.38,85373.4,121962,126206,126963,137780,202322,209343,216475,38.2,10.7,"Lusaka Province",6279,5971,5900,5299,4692,4250,0.99,0.99,0.99,0.99,0.96,0.87,1.0340684904678,223849.976474016,231476.207263738,239362.252224424,247516.962832682,255949.492121566,264669.304954147,273686.188647095,223849.976474016,231476.207263738,239362.252224424,247516.962832682,255949.492121566,264669.304954147,273686.188647095,62.9902,82.9,NA,"chilanga",0.869806039185711,0.859581223590862,0.879791032124884,0.961
"9","Copperbelt","chililabombwe","Chililabombwe","Chililabombwe",100395,100395,103699,107113,110640,114282,118041,121918,125914,130031,36.6,11.8,"Copperbelt Province",10353,10006,8707,9491,9599,8862,0.72,0.7,0.61,0.66,0.67,0.62,1.03269692012008,134282.613220134,138673.241098109,143207.428985087,147889.870851214,152725.414145006,157719.064811611,162875.992475171,134282.613220134,138673.241098109,143207.428985087,147889.870851214,152725.414145006,157719.064811611,162875.992475171,78.92235,82.7,NA,"chililabombwe",0.830045909367457,0.812355507970076,0.845582355200873,0.989
"10","Northern","chilubi","Chilubi","Chilubi",83461,83461,85175,86864,88526,90158,91780,93413,95054,96703,44,12.2,"Northern Province",4911,4162,4103,3742,3412,4225,0.99,0.99,0.99,0.99,0.99,0.99,1.01734803374924,98380.6069076525,100087.316996557,101823.635149684,103590.075008731,105387.159126068,107215.419119323,109075.395828644,98380.6069076525,100087.316996557,101823.635149684,103590.075008731,105387.159126068,107215.419119323,109075.395828644,62.7907,87,NA,"chilubi",0.848115062807304,0.833634747117507,0.862291773969185,0.964
